Ingredients,Rate,Category,Information
hops,AVERAGE,Antioxidants,"There is no research showing that hops have any benefit for skin. However, components in hops may have antioxidant properties."
Hordeum vulgare extract,AVERAGE,Antioxidants,"More commonly known as barley extract, this plant is a source of gluten."
horse chestnut extract,GOOD,Skin-Soothing,"May have skin-soothing properties for skin.
Reference for this information:
American Journal of Clinical Dermatology, 2002, issue 5, pages 341-348"
horse elder,POOR,Plant Extracts,none
horseradish,POOR,Plant Extracts,Plant that can sensitize skin and should never be applied to abraded skin.
horsetail extract,AVERAGE,Antioxidants,"Plant extract that has antioxidant and skin-soothing properties, but there’s no solid research showing it can exert these effects when applied to skin. Horsetail may be listed by its Latin name Equisetum arvense."
Hortonia floribunda leaf extract,AVERAGE,Plant Extracts,No research shows this plant as having any benefit for skin.
Huang qi,GOOD,Antioxidants,none
Humulus lupulus extract,AVERAGE,Plant Extracts,none
hyaluronic acid,BEST,Antioxidants,"Component of skin tissue. Synthetic variations are used in skincare products to function as a superior skin-replenishing ingredient. Hyaluronic acid has restorative abilities and can boost skin’s moisture content, soothe, and defend against moisture loss. It is capable of holding up to 1,000 times its own weight in water, making it an optimal hydrator for all skin types.
In addition to its function as a superior skin-restoring ingredient, hyaluronic acid also provides an antioxidant defense against environmental assault. For more info about hyaluronic acid, please see our article, How Hyaluronic Acid Benefits Skin.
Reference for this information:
Journal of Drugs in Dermatology, 2011, issue 9, pages 990-1000
Journal of Clinical and Aesthetic Dermatology, March 2009, pages 38–43"
Hydnocarpus anthelmintica,POOR,Plant Extracts,none
Hydrastis canadenis,POOR,Plant Extracts,none
hydrocotyl extract,BEST,Plant Extracts,none
hydrogenated coco-glyceride,GOOD,Thickeners/Emulsifiers,Used as an emollient and thickening agent in cosmetics.
hydrogenated didecene,GOOD,Thickeners/Emulsifiers,"Skin-softening agent derived from didecene, which is a hydrocarbon. Hydrocarbons are organic compounds that contain only carbon and hydrogen. Examples of common hydrocarbons include mineral oil, petroleum, and paraffin wax."
hydrogenated lecithin,BEST,Skin-Restoring,Hydrogenated form of the skin-restoring ingredient lecithin. It may be derived from animals or plants (egg yolk is a source) or manufactured synthetically.
hydrogenated olive oil,BEST,Antioxidants,"When a plant oil is hydrogenated, it is chemically converted from a liquid to a semi-solid or solid form using a process that involves hydrogen gas under high pressure. Hydrogenation allows an oily liquid to remain in a solid state at room temperature. Hydrogenated olive oil is a rich source of antioxidants, and, as described, hydrogenating the oil changes it from its natural liquid state into a solid state."
hydrogenated palm glycerides,GOOD,Antioxidants,Palm glycerides are the fatty acid component of palm oil. Hydrogenation allows the oily liquid to remain in a solid state at room temperature.
hydrogenated polydecene,GOOD,Emollients,Synthetic polymer that functions as an emollient and skin-softening agent.
hydrogenated polyisobutene,GOOD,Emollients,"Synthetic polymer used as a skin-softening agent and emollient. It has a rich, thick texture."
hydrogenated soybean oil,BEST,Antioxidants,Non-fragrant plant oil from soy that has been hydrogenated so it retains a semi-solid rather than liquid state.
hydrogenated starch hydrolysate,GOOD,Film-Forming/Holding Agents,"The end product of hydrolyzing starch, a polysaccharide carbohydrate. This corn-derived ingredient functions as a hydrator and film-forming agent."
hydrogenated vegetable glycerides citrate,GOOD,Emollients,"A hydrogenated blend of vegetable glycerides that functions chiefly as an emollient and texture enhancer in cosmetics. In this case, the vegetable glyceride component is mixed with citric acid, at which point it can also help to stabilize cosmetic formulas."
hydrogen peroxide,POOR,Sensitizing,There is a great deal of current research showing that hydrogen peroxide is problematic as a topically applied product. Hydrogen peroxide is also a strong oxidizing agent.
hydrolyzed acacia macrostachya seed extract,GOOD,Antioxidants,"The extract from the seed of the Acacia macrostachya plant, a tropical shrub. Applied to skin, it’s known to increase hydration and prevent moisture loss.
References for this information:
NJB, September 1998, pages 118-122"
hydrolyzed corn starch,GOOD,Absorbent,"A form of the natural absorbent corn starch that has been hydrolyzed, which means it has undergone hydrolysis. Hydrolysis involves changing an ingredient from one form to another by the addition of water."
hydrolyzed glycosaminoglycans,BEST,Skin-Replenishing,"A skin-replenishing ingredient that has been hydrolyzed, which is a chemical process involving the reaction of a substance with water to form a modified substance. Functions as a skin-softening agent."
hydrolyzed jojoba esters,BEST,Plant Extracts,"Essential fatty acids from the jojoba plant, broken down by water to form a new complex with properties different from the original source. An analogy of this process is the manner in which humans digest food to turn it into energy. Jojoba esters function as skin-softening agents."
hydrolyzed jojoba protein,GOOD,Plant Extracts,"Protein fraction of seeds from the jojoba plant that has been hydrolyzed, which is a chemical process involving the reaction of a substance with water to form a modified substance."
hydrolyzed silk,GOOD,Antioxidants,none
hydrolyzed soy protein,BEST,Skin-Soothing,none
hydrolyzed vegetable protein,GOOD,Miscellaneous,Composed of various protein substances derived from vegetables and broken down by water and hydrochloric acid to form a new complex with properties different from the original source. Used as a water-binding agent.
hydrolyzed wheat protein,GOOD,Plant Extracts,"Protein fraction from wheat that has been hydrolyzed, which is a chemical process involving the reaction of a substance with water and hydrochloric acid to form a modified substance. Functions as a hair conditioning agent and texture enhancer."
hydroquinone,BEST,Skin-Restoring,"Long established as the most effective ingredient for treating brown spots. Hydroquinone does not bleach the skin, which is why “bleaching agent” is a misnomer; it can’t remove pigment, it works by gradually fading the appearance of dark and brown spots resulting from sun exposure or other factors.
Over-the-counter hydroquinone products can contain 0.5% to 2% concentrations of hydroquinone; 4% (and sometimes higher) concentrations are available only from physicians.
Some concerns about hydroquinone’s safety on skin have been expressed, but despite the controversy, abundant research from reputable sources shows hydroquinone to be safe and effective. If you’re struggling with brown spots or skin discolorations, hydroquinone remains among the best ingredient to treat them.
A reminder that no skin-lightening ingredient will work to lighten brown spots if you’re not diligent about daily application of a broad spectrum sunscreen. Unprotected sun exposure is the root cause of most dark spots, so forgoing sunscreen means you won’t see the results you want, no matter how well formulated the lightening product may be.
References for this information:
The Journal of Clinical and Aesthetic Dermatology, August 2014, pages 13-17
Journal of Drugs in Dermatology, March 2013, pages S32-S37
The Journal of Dermatological Treatment, September 2010, pages 272-275
Journal of the American Academy of Dermatology, November 2007, pages 854-872
Dermatologic Therapy, September-October 2007, pages 308-313
Critical Reviews in Toxicology, October 2007, pages 887-914; and May 1999, pages 283-330
Journal of the European Academy of Dermatology and Venereology, August 2006, pages 781-787
Journal of Toxicology and Environmental Health, June 1998, pages 301-317"
hydroxyethyl acrylate/sodium acryloyl dimethyl taurate copolymer,GOOD,Thickeners/Emulsifiers,"Synthetic polymer that functions as a stabilizer, texture enhancer, and opacifying agent. The independent Cosmetic Ingredient Review has deemed this ingredient safe as used in cosmetics.
Reference for this information:
http://www.cir-safety.org/sites/default/files/ACTAPY122015rep.pdf"
hydroxyethylcellulose,GOOD,Plant Extracts,Plant-derived texture enhancer in cosmetic products.
hydroxyethylpiperazine ethane sulfonic acid,POOR,Miscellaneous,"Also known by the acronym HEPES, hydroxyethylpiperazine ethane sulfonic acid is a buffering ingredient typically used to establish a neutral pH in water-based solutions. There’s research indicating it can generate free radical damage in the presence of oxygen, which means it could be a problem when used in skincare products. Even though research on how this directly impacts skin hasn’t been done, it’s an ingredient we advise avoiding in cosmetic products. There are definitely other buffering agents that are less problematic and have had safe concentration protocols established.
References for this information:
Journal of Inorganic Biochemistry, August 2005, pages 1,653-1,660 and November 2004, issue 11, pages 1696-1702"
hydroxyethyl urea,GOOD,Hydration,"A synthetic ingredient that serves to hydrate skin and help maintain a normal moisture balance in skin’s uppermost layers.
References for this information:
Dermatology and Therapy, March 2015, pages 1-8
Biochimica et Biophysica acta, November 2013, pages 2,470-2,478
Dermatology Online Journal, November 2013, pages 1-14
Journal of Colloid and Interface Science, October 2011, pages 1-33"
hydroxylated lecithin,BEST,Emollients,none
hydroxypropyl cyclodextrin,GOOD,Miscellaneous,"A plant- derived or synthetic carbohydrate that functions as a chelating agent and stabilizer. It is considered safe for use in cosmetics and has also been deemed safe for oral consumption (where its application, of course, differs from that of cosmetics).
References for this information:
Journal of Pharmaceutical Science, February 2013, pages 352-364
Food and Chemical Toxicology, October 2005, pages 1,451-1,459"
hydroxypropyl guar,GOOD,Plant Extracts,none
hydroxypropyl starch phosphate,GOOD,Thickeners/Emulsifiers,"A lightweight, plant-based or synthetic starch ingredient that functions as a texture enhancer in cosmetics. It belongs to the chemical class carbohydrates and is used in all types of personal care products, including conditioners, facial care, body washes, sunscreens, and hairstyling products. This ingredient is also used to stabilize cosmetic products and may be listed as distarch phosphate or hydroxypropyl distarch phosphate."
Hypericum extract,GOOD,Antioxidants,none
hyssop,AVERAGE,Plant Extracts,"Fragrant plant extract that may be a skin sensitizer.
Reference for this information:
International Journal of Food Microbiology, August 2001, pages 187–195"
idebenone,BEST,Antioxidants,"A synthetic antioxidant similar to coenzyme Q10. Research for idebenone has not compared its effects to many of the hundreds of other potent antioxidants that commonly appear in other skincare products, nor did it compare the effects of idebenone with the effects of a combination of antioxidants. Perhaps a cocktail of antioxidants would far surpass idebenone—we don’t know. Other published studies compared the red grape antioxidant compound reseveratrol and L-ergothioneine to idebenone and found both superior to idebenone 
To date, there are still no published, peer-reviewed studies that support idebenone’s alleged superiority. This does not mean idebenone is not a valid antioxidant for skin. Given what we know about how ubiquinone performs in the body, it is definitely not a throwaway ingredient. What is fairly certain, however, is that it is neither the best nor most potent antioxidant around.
References for this information:
Journal of Cosmetic Dermatology, March 2008, pages 2-7
Journal of Cosmetic Dermatology, September 2007, pages 183-188
The Journal of Investigative Dermatology, May 2006, pages 1185–1187 "
Ilex paraguariensis,BEST,Skin-Soothing,none
Illicium vernum,POOR,Antioxidants,none
imidazolidinyl urea,AVERAGE,Preservatives,"Preservative considered weaker than its “cousin” diazolidinyl urea. Most often used with parabens because they work well together. Imidazolidinyl urea is considered a formaldehyde-releasing preservative. Although that sounds scary, the amount of formaldehyde released is well below the limits for safe exposure.
Reference for this information:
International Journal of Cosmetic Science, October 2015, pages 474-478
Skin Pharmacology and Physiology, 2012, pages 236-240"
inactive ingredient,GOOD,Miscellaneous,"The list of inactive ingredients is the part of an over-the-counter Drug Facts label required by regulatory agencies in the United States on such products as sunscreens and anti-acne products that contain benzoyl peroxide or salicylic acid. Inactive ingredients must be listed alphabetically or can be listed in descending order of concentration. “Inactive” does not mean the ingredients don’t have any effect; rather, it simply means they do not have regulatory status as active ingredients. On OTC drug products, inactive ingredient labeling must follow regulatory guidelines set forth in the official International Cosmetic Ingredient Dictionary."
inositol,BEST,Skin-Replenishing,"Major component of lecithin that may have water-binding properties for skin. It is not a vitamin, although it is sometimes mistakenly thought of as a B vitamin."
Inula helenium,POOR,Plant Extracts,none
iodopropynyl butylcarbamate,GOOD,Preservatives,"Synthetic preservative typically used in concentrations of 0.1% or less. It should always be used with other preservatives in water-based products.
Reference for this information:
Preservatives for Cosmetics. Carol Stream: Allured Pub Corp. 2006, pages 51-52."
Iris florentina extract,POOR,Plant Extracts,none
Irish moss extract,GOOD,Antioxidants,Type of red algae.
iron oxides,GOOD,Coloring Agents/Pigments,"Compounds of iron that are used as coloring agents in some cosmetics. They also are used as a metal polish called jewelers’ rouge, and are well-known in their crude form as rust. Although iron oxides occur naturally, the forms used in cosmetics are synthetic. Iron oxides are closely regulated by the U.S. Food and Drug Administration. According to the website CosmeticsInfo.org (which links to the FDA’s Code of Federal Regulations for iron oxides), “Synthetic iron oxides are produced in various ways, including thermal decomposition of iron salts, such as ferrous sulfate, to produce reds; precipitation to produce yellows, reds, browns, and blacks; and reduction of organic compounds by iron to produce yellows and blacks.”"
iron powder,AVERAGE,Absorbent,"Iron powder is, as the name states, a powdered versoin of the mineral iron. A natural ingredient, it's used as an opacifying agent in cosmetics. Iron powder is not a commonly used cosmetic ingredient as it can pose a risk of sensitivity and is also problematic if its dust is inhaled."
isoamyl laurate,GOOD,Emulsifiers,"The ester of isoamyl alcohol and lauric acid, this plant- or synthetic-based texture-enhancing ingredient feels velvety-soft. Used to help keep pigments dispersed in makeup products such as foundations and also because it enhances the spreadability of products. Paula’s Choice Skincare uses the plant-derived, 100% natural form of this ingredient.
Reference for this information:
Cossma, April 2015, pages 12-15"
isobutyl acetate,GOOD,Miscellaneous,none
isobutylparaben,GOOD,Preservatives,"Parabens are a group of controversial preservatives that include butylparaben, isobutylparaben, propylparaben, methylparaben, and ethylparaben. All of these were at one time the most widely used group of preservatives used in cosmetics. Parabens were so popular because of their gentle, non-sensitizing, and highly effective profile in comparison to other preservatives but also because they were derived naturally from plants, a rare phenomenon for a preservative. Parabens are found in plants in the form of p-hydroxybenzoic acid (PHBA), a chemical that breaks down to become parabens for a plants own protection.
Over the past 10 years parabens have become criticized and condemned for use in cosmetics due to their alleged relation to health concerns affecting women and men. The research about parabens is conflicting and polarizing. Some research indicates they are safe as used in cosmetics and are preferred over other preservatives to keep a formula stable. These studies also showed parabens did not have any effect when compared to natural hormones in the body.
However, other research has concluded they are indeed problematic: Some studies determined a 100% concentration of parabens caused skin samples (meaning not intact skin on a person) to break down. However, these studies don’t apply to the tiny amount (1% or less) of parabens typically used in cosmetics. In low amounts, parabens were not shown to harm skin; in fact, they offer a benefit due to their ability to thwart the growth of mold, fungi, and harmful pathogens.
Other studies casting parabens in a negative light were based on force-feeding them to rats, a practice that is not only cruel but unrelated to what happens when parabens are applied to skin. There are studies indicating absorption of parabens through skin associated with application of skincare products, but those studies did not take into consideration that parabens are still used as food-grade preservatives or found naturally in plants and that could have been the source not the cosmetics. We also looked at studies showing other questionable effects but those were done in vitro meaning in a petri dish or, again, animal studies in species whose biologic makeup does not closely relate to people.
We appreciate the concern about parabens and understand if people choose to avoid them. At Paula’s Choice Skincare we use parabens in a very limited number of products, but that decision is based on other reasons than the scare tactics rampant on the internet. For transparency, we list all ingredients on individual product pages and packaging and our Client Services team is always happy to help.
References for this information:
Journal of Exposure Science and Environmental Epidemiology, May 2017, 320-325
Annual Review of Food Science Technology, February 2017, pages 371-390
Journal of Applied Toxicology, April 2017, ePublication
Environmental Science and Technology, April 2017, page 4009-4017
Dermatitis, November-December 2015, pages 254-259
Toxicology Letters, December 2013, pages 295-305
Skin Therapy Letter, July-August 2013, pages 5-7
Journal of Agricultural Food Chemistry, June 2008, pages 4631-4636
International Journal of Toxicology, April 2008, pages 1-82
http://www.cosmeticsinfo.org/paraben-information"
isocetyl salicylate,AVERAGE,Miscellaneous,none
isododecane,GOOD,Miscellaneous,"Synthetic hydrocarbon ingredient used as a solvent. Isododecane enhances the spreadability of products and has a weightless feel on skin. All hydrocarbons used in cosmetics help prevent the evaporation of water from skin.
Among its many uses in beauty products, it’s not uncommon to see isododecane in long-wear lipsticks and foundations, where it helps minimize color transfer and lends itself to a lightweight, matte finish.
Reference for this information:
Cosmetics & Toiletries, January 2014, pages 40-44"
isoflavone,BEST,Antioxidants,Plant-derived ingredient with potent antioxidant properties.
isohexadecane,GOOD,Thickeners/Emulsifiers,"Synthetic, dry-finish ingredient with a powder-like finish. Used as a cleansing agent and texture enhancer in cosmetics, particularly those for oily skin. The size of isohexadecane keeps it from penetrating too far into the skin, so it can be a good ingredient to keep other ingredients, like certain antioxidants, on skin’s surface."
isoleucine,GOOD,Antioxidants,none
isononyl isononanoate,GOOD,Emollients,"Synthetic ester that functions as an emollient skin-softening agent. Occurs naturally in cocoa oil and lavender oil. The Cosmetic Ingredient Review Expert Panel has determined that isononyl isononanoate is safe in its current use and concentration in cosmetic products.
Reference for this information:
International Journal of Toxicology, December 2011, pages 228S-269-S"
isoparaffin,GOOD,Thickeners/Emulsifiers,none
isopropyl alcohol,POOR,Sensitizing,Also known as rubbing alcohol.
isopropyl isostearate,GOOD,Emollients,"The ester of isopropyl alcohol and isostearic acid. It is used as a skin-softening agent and emollient in cosmetics products, retaining none of the sensitizing potential pure isopropyl alcohol has.
Reference for this information:
International Journal of Toxicology, January/February 1992, issue 1, pages 43-49"
isopropyl lanolate,GOOD,Thickeners/Emulsifiers,"Derived from lanolin, it is used in cosmetics as a texture enhancer and emollient."
isopropyl myristate,GOOD,Texture Enhancer,"Texture enhancer and emollient as used in cosmetics. There is also research showing it can help enhance the absorption of ingredients in a cosmetic formula.

Isopropyl myristate is often called out as being a particularly bad pore-clogging ingredient; however, this assessment comes from dated research that doesn’t apply to how this ingredient is used in today’s cosmetics.

References for this information:
Journal of Cosmetology and Trichology, November 2015, ePublication
Skin Pharmacology and Physiology, 2012, pages 200-207"
isopropyl palmitate,GOOD,Emollients,"Texture enhancer and emollient as used in cosmetics. It can potentially be problematic for those with oily skin, depending on the amount in the product and your skin’s response.
Isopropyl palmitate may be synthetic or derived from plant and animal sources. 
Reference for this information:
Journal of American Academy of Dermatology, 2006, issue 3, pages 507-512"
isopropyl titanium triisostearate,GOOD,Emulsifiers,"A synthetic or animal-derived ingredient used as a surface treatment for cosmetic pigments in products such as mascara. Also used to coat titanium dioxide nanoparticles to keep them evenly suspended and stable in sunscreen formulations. 
References for this information:
International Journal of Pharmaceutics, June 2014, pages 89-96
Principles and Practice of Photoprotection, edited by Steven Q. Wang, Henry W. Lim, page 297"
isopropyl titanium triisostearte/triethoxycaprylylsilane crosspolymer,GOOD,Thickeners/Emulsifiers,"A synthetic, silicone-enhanced polymer that occurs from combining isopropyl titanium triisostearate and triethoxycaprylylsilane. Its chief function as to enhance the texture and slip of cosmetic products."
isostearamide DEA,GOOD,Thickeners/Emulsifiers,"Used as a cleansing agent, water-binding agent, and texture enhancer."
isostearic acid,GOOD,Thickeners/Emulsifiers,Fatty acid used as a binding agent and texture enhancer.
ivy extract,POOR,Plant Extracts,"Plant extract that can be sensitizing due to its astringent properties. Despite this, there’s no research demonstrating that tiny amounts of ivy extract applied via skincare products are harmful; however, there also is no reliable information on ivy’s benefits when applied to skin.
References Cited:"
Japan wax,GOOD,Thickeners/Emulsifiers,"Vegetable wax obtained from sumac berries, and used as a texture enhancer and emollient in cosmetics."
jasmine oil,POOR,Plant Extracts,"Fragrant oil, often used as a source of perfume, whose volatile fragrance chemicals (chiefly linalool) can be skin sensitizers.
Reference for this information:
International Journal of Cosmetic Science, 2011, issue 2, pages150-156"
Jasminium grandiflorum,POOR,Plant Extracts,none
jojoba butter,BEST,Antioxidants,"The fattiest portion of jojoba oil, used as an intensive emollient."
jojoba esters,BEST,Plant Extracts,"Complex mixture of esters from jojoba oil and hydrogenated jojoba oil. The result is an ingredient with a wax-like texture that functions as an excellent emollient and occlusive agent for skin, especially when used with glycerin.
Reference for this information:
Journal of Cosmetic Dermatology, 2008, issue 4, pages 268-274"
jojoba oil,BEST,Skin-Restoring,"Emollient, non-fragrant oil (technically, a polyunsaturated wax) extracted from the seeds of a perennial shrub. Jojoba oil has been shown to enhance skin’s restorative properties. 
A plant oil that’s a rich source of numerous fatty acids, jojoba oil can also provide topical skin-soothing benefits. Its texture is similar to the oil (sebum) human skin produces, one more reason it’s a brilliant ingredient for dry skin—and potentially problematic for those with oily skin prone to clogged pores and breakouts. Note that jojoba wax is considered more of an issue for breakout-prone skin than jojoba oil.
Jojoba oil has the distinction of feeling lighter and less greasy than many other oils, particularly highly saturated oils such as coconut. Jojoba oil is also one of the more stable plant oils in use today. 
References for this information: 
Energy Conversion and Management, December 2016, pages 293-304
Journal of Italian Dermatology and Venereology, December 2013, pages 687-691
Journal of Cosmetic Dermatology, December 2008, pages 268-274
Journal of Dermatological Science, May 2008, pages 135-142
Pharmacological Research, February 2005, pages 95-105"
jojoba wax,BEST,Plant Extracts,Semi-solid portion of jojoba oil.
jonquil extract,POOR,Plant Extracts,Fragrant plant extract that poses a strong risk of skin sensitivity.
Ju hua,GOOD,Skin-Soothing,none
jujube fruit extract,GOOD,Skin-Soothing,"Asian plant extract that has skin-soothing action.
Reference for this information:
Food and Chemical Toxicology, February 2010, pages 639–643"
juniper berry,POOR,Skin-Soothing,"Plant (Latin name Juniperus communis) that can have skin-soothing properties for skin, although with repeated application (due to its methanol content) can result in skin sensitivity. Juniper lacks sufficient data proving it is safe for use on skin, and is chiefly added, in oil or extract form, to impart fragrance. 
References for this information:
International Journal of Toxicology, 2001, volume 20, issue 2, pages 41-56
Pharmacology Toxicology,1998, issue 2, 108-112"
Juniperus communis,POOR,Skin-Soothing,none
kaolin,GOOD,Absorbent,"Naturally occurring clay mineral (silicate of aluminum) used in cosmetics for its absorbent properties. Kaolin’s absorbent properties make it a popular ingredient in clay masks for oily skin. Used too often in high amounts, it can be drying, but is otherwise a benign ingredient."
Kathon CG,POOR,Preservatives,none
kava-kava extract,POOR,Skin-Soothing,"Extract of the Piper methysticum plant that has skin-soothing properties, but can also cause skin sensitivity.
References for this information:
Alternative Medicine Review, December 1998, pages 458–460
Clinical Experimental Pharmacology and Physiology, July 1990, pages 495–507"
kawa extract,POOR,Skin-Soothing,none
kelp extract,GOOD,Antioxidants,none
Kigelia africana extract,AVERAGE,Skin-Soothing,"Extract of African plant commonly known as the sausage tree. The research on this ingredient is limited, but it does appear to have skin-soothing and antioxidant properties.
References for this information:
Experimental and Toxicologic Pathology, August 2007, pages 433–438
Journal of Natural Products, November 2005, pages 1610–1614"
kiwi fruit extract,AVERAGE,Antioxidants,"As a food, kiwi has significant antioxidant properties that may even be greater than those of vitamin C. Whether that benefit translates into its use on skin has not been demonstrated. The acid component of the kiwi can be a skin sensitizer"
kojic acid,GOOD,Antioxidants,"By-product of the fermentation process of malting rice for use in the manufacture of sake (Japanese rice wine). In vitro and in vivo research and animal studies have shown that kojic acid is effective for brightening an uneven skin tone.
Kojic acid’s downside is that it’s an extremely unstable ingredient in cosmetic formulations. On exposure to air or sunlight, it turns brown and loses its efficacy. Many cosmetics companies use kojic dipalmitate as an alternative because it’s more stable in formulations. However, there’s no research showing that kojic dipalmitate is as effective as kojic acid, although it’s a good antioxidant.
References for this information: 
International Journal of Molecular Sciences, September 2009, pages 4,066-4,087
Journal of Cosmetic Science, March-April 2004, pages 139-148
Journal of Dermatological Science, May 2003, pages 193-201
The Journal of Pharmacy and Pharmacology, December 1994, pages 982-985"
kojic dipalmitate,GOOD,Antioxidants,"Mixture of kojic acid and palmitic acid that functions as a skin-softening agent and a fat-soluble antioxidant. Although it’s more stable than the similar-sounding kojic acid, there’s no research showing kojic dipalmitate is as effective as kojic acid."
kola nut,AVERAGE,Plant Extracts,"One of the major components of the kola nut is caffeine, which in high amounts can be a skin sensitizer."
kudzu root,BEST,Antioxidants,"Source of isoflavone, genistein, and daidzein. It can be a potent antioxidant.
References for this information:
Phytochemistry, June 2002, pages 205–211
Journal of Alternative Complementary Medicine, 1997, pages 7–12 "
kukui nut oil,BEST,Plant Extracts,"Also known as candlenut or candleberry oil, this non-fragrant plant oil is found throughout India and Indonesia. Research has shown it has skin-soothing benefits."
lactic acid,BEST,Exfoliant,"Alpha hydroxy acid (AHA) extracted from milk, although most forms used in cosmetics are synthetic because that form is easier to formulate with and stabilize.
In a pH-correct formula (generally a product would have a pH between 3 and 4) and in concentrations between 5 and 12%, lactic acid exfoliates on the surface of skin by breaking down the material that holds dead skin together, allowing it to shed naturally as it once did. Lactic acid may cause sensitivity, although this isn’t common and can be minimized, if not eliminated, if the formulation contains soothing ingredients.
Lactic acid also has hydrating properties and, like glycolic acid (another AHA), helps brighten an uneven skin tone. 
Reference for this information:
Journal der Deutschen Dermatologischen Gesellschaft, 2012, issue 7, pages 488-491
Clinical, Cosmetic, and Investigational Dermatology, November 2010, pages 135-142
Journal of the American Academy of Dermatology, September 1996 pages 388-391
Archives of Dermatology, June 1996, pages 631-636"
lactobionate,GOOD,Skin-Replenishing,Polysaccharide that has water-binding properties for skin.
lactobionic acid,BEST,Exfoliant,none
lactoperoxidase,BEST,Miscellaneous,"Enzyme derived from milk that has unique properties to restore skin's surface flora as well as in the pore.
Reference for this information:
Journal of Applied Microbiology, May 2006, pages 1034–1042"
lady's mantle extract,POOR,Plant Extracts,none
lady's thistle (milk thistle) extract,BEST,Antioxidants,"Also known as milk thistle, this extract has a great deal of research showing it has many applications, owing to the skin-soothing, restorative, and antioxidant effects of its main chemical seed constituent, silymarin.
References for this information:
International Journal of Oncology, May 2010, pages 1,053–1,060
Clinics in Dermatology, September-October 2009, pages 479–484
Photochemistry and Photobiology, March-April 2008, pages 266–271"
Lagerstroemia indica extract,AVERAGE,Plant Extracts,No research shows this plant as having any benefit for skin.
Laminaria digitata,GOOD,Antioxidants,none
Laminaria longicruris,GOOD,Antioxidants,none
Laminaria ochroleuca extract,GOOD,Skin-Soothing,"The Latin name for a species of kelp, also known as brown seaweed. Applied topically, it helps soothe and, like all forms of seaweed, has some amount of moisture-binding properties.
References for this information:
Journal of the European Academy of Dermatology and Venereology, September 2007, pages 1,124-1,125
Biomedical Chromotography, April 2004, pages 183-190"
Laminaria sacharrina,GOOD,Antioxidants,none
Lamium album flower extract,BEST,Skin-Soothing,"A species of the nettle plant that is used topically as an skin-soothing owing to its saponin content. This plant also functions as an antioxidant.
Reference for this information:
Fitoterapia, July 2006, pages 346–353"
lanolin,GOOD,Emollients,"Emollient, very thick substance derived from sheep. Lanolin has long been burdened with a reputation for being a sensitizing agent, which has always been a disappointment to formulators because lanolin is such an effective moisturizing ingredient. 
A study in the British Journal of Dermatology concluded “that lanolin sensitization has remained at a relatively low and constant rate even in a high-risk population.” Based on a review of 24,449 patients who were tested with varying forms of lanolin, it turned out that “The mean annual rate of sensitivity was 1.7%”—and it was lower than that for a 50% concentration of lanolin. The amounts of lanolin used in products like facial and body moisturizers are much less than this, so the risk, if any, is negligible. 
Lanolin is a very good ingredient for someone with dry skin, though it can be a problem for someone with oily or breakout-prone skin. Also, as an animal-derived ingredient, lanolin is sometimes viewed as less favorable in comparison to synthetic or plant-derived alternatives. 
Reference for this information:
Dermatitis, March-April 2008, pages 63-72
British Journal of Dermatology, 2001, issue 1, 28-31"
lanolin alcohol,GOOD,Emollients,"Emollient derived from lanolin. Despite the “alcohol” in the name, this ingredient is not a skin sensitizer. Instead, it’s a fatty alcohol that can greatly benefit dry skin because it helps defend against moisture loss and maintain a supple feel on skin."
lappa extract,GOOD,Skin-Soothing,none
Larrea divaricata extract,GOOD,Antioxidants,none
Larrea tridentata,GOOD,Antioxidants,none
L-ascorbic acid,BEST,Skin-Soothing,"Form of vitamin C that is a potent antioxidant and skin-soothing agent and can improve the appearance of signs of aging and help brighten an uneven skin tone. L-ascorbic acid is often labelled as the INCI complaint “ascorbic acid” on ingredient lists, but there is no difference between the two—they refer to the same ingredient. 
References for this information:
Indian Dermatology Online Journal, 2013, issue 2, pages 143-146
Dermatological Surgery, 2005, issue 7 part 2, pages 814-818
Dermatological Surgery, 2001, issue 2, pages 137-142"
lauramphocarboxyglycinate,GOOD,Cleansing Agents,Mild cleansing agent.
laurdimonium hydroxypropyl hydrolyzed soy protein,GOOD,Miscellaneous,none
laurdimonium hydroxypropyl hydrolyzed wheat protein,GOOD,Miscellaneous,none
laureth-23,GOOD,Thickeners/Emulsifiers,"Derived from lauryl alcohol and used either as a cleansing agent or texture enhancer (or, in many cases, as both)."
laureth-4,GOOD,Thickeners/Emulsifiers,"Derived from lauryl alcohol and used either as a cleansing agent or texture enhancer (or, in many cases, as both)."
laureth-7,GOOD,Thickeners/Emulsifiers,"Form of lauryl alcohol (a non-sensitizing fatty alcohol derived from coconut oil) that can function as a cleansing agent and texture enhancer. Despite information found on the Internet, there’s no substantiated evidence that this ingredient is problematic for oily skin."
laureths,GOOD,Cleansing Agents,Substances that in various combinations create a wide range of mild cleansing agents.
lauric acid,BEST,Skin-Replenishing,"One of several fatty acids found in coconut oil and other natural fats, lauric acid has multiple uses in cosmetics. Its natural bay leaf-like scent can be used in high amounts to add fragrance to products, but it’s more often used as a base for cleansing agents, and, increasingly, for its skin-soothing actions. Some studies have shown it can also have antimicrobial activity.
Reference for this information:
Biomaterials, October 2009, pages 6035-6040"
